"CODGEO","nom_commune","pop_tot","year_data"
"01001","L'Abergement-Clémenciat",767,2014
"01002","L'Abergement-de-Varey",239,2014
"01004","Ambérieu-en-Bugey",14022,2014
"01005","Ambérieux-en-Dombes",1627,2014
"01006","Ambléon",109,2014
"01007","Ambronay",2570,2014
"01008","Ambutrix",743,2014
"01009","Andert-et-Condon",338,2014
"01010","Anglefort",1142,2014
"01011","Apremont",397,2014
"01012","Aranc",325,2014
"01013","Arandas",157,2014
"01014","Arbent",3405,2014
"01015","Arboys en Bugey",638,2014
"01016","Arbigny",440,2014
"01017","Argis",427,2014
"01019","Armix",23,2014
"01021","Ars-sur-Formans",1376,2014
"01022","Artemare",1193,2014
"01023","Asnières-sur-Saône",66,2014
"01024","Attignat",3386,2014
"01025","Bâgé-Dommartin",4065,2014
"01026","Bâgé-le-Châtel",881,2014
"01027","Balan",2973,2014
"01028","Baneins",585,2014
"01029","Beaupont",678,2014
"01030","Beauregard",886,2014
"01031","Bellignat",3656,2014
"01032","Béligneux",3296,2014
"01033","Valserhône",16084,2014
"01034","Belley",8983,2014
"01035","Belleydoux",321,2014
"01036","Valromey-sur-Séran",1254,2014
"01037","Bénonces",282,2014
"01038","Bény",731,2014
"01039","Béon",467,2014
"01040","Béréziat",477,2014
"01041","Bettant",749,2014
"01042","Bey",265,2014
"01043","Beynost",4541,2014
"01044","Billiat",595,2014
"01045","Birieux",285,2014
"01046","Biziat",818,2014
"01047","Blyes",972,2014
"01049","La Boisse",2932,2014
"01050","Boissey",323,2014
"01051","Bolozon",88,2014
"01052","Bouligneux",300,2014
"01053","Bourg-en-Bresse",40967,2014
"01054","Bourg-Saint-Christophe",1270,2014
"01056","Boyeux-Saint-Jérôme",370,2014
"01057","Boz",512,2014
"01058","Brégnier-Cordon",861,2014
"01060","Brénod",549,2014
"01061","Brens",1186,2014
"01062","Bressolles",826,2014
"01063","Brion",514,2014
"01064","Briord",973,2014
"01065","Buellas",1754,2014
"01066","La Burbanche",71,2014
"01067","Ceignes",263,2014
