"CODGEO","nom_commune","pop_tot","year_data"
"",NA,NA,2019
"01001","L'Abergement-Clémenciat",779,2019
"01002","L'Abergement-de-Varey",256,2019
"01004","Ambérieu-en-Bugey",14134,2019
"01005","Ambérieux-en-Dombes",1751,2019
"01006","Ambléon",112,2019
"01007","Ambronay",2800,2019
"01008","Ambutrix",762,2019
"01009","Andert-et-Condon",326,2019
"01010","Anglefort",1105,2019
"01011","Apremont",368,2019
"01012","Aranc",329,2019
"01013","Arandas",143,2019
"01014","Arbent",3349,2019
"01015","Arboys en Bugey",650,2019
"01016","Arbigny",460,2019
"01017","Argis",457,2019
"01019","Armix",27,2019
"01021","Ars-sur-Formans",1457,2019
"01022","Artemare",1249,2019
"01023","Asnières-sur-Saône",76,2019
"01024","Attignat",3251,2019
"01025","Bâgé-Dommartin",4065,2019
"01026","Bâgé-le-Châtel",973,2019
"01027","Balan",2563,2019
"01028","Baneins",617,2019
"01029","Beaupont",685,2019
"01030","Beauregard",829,2019
"01031","Bellignat",3652,2019
"01032","Béligneux",3376,2019
"01033","Valserhône",16378,2019
"01034","Belley",9182,2019
"01035","Belleydoux",310,2019
"01036","Valromey-sur-Séran",1326,2019
"01037","Bénonces",308,2019
"01038","Bény",754,2019
"01039","Béon",443,2019
"01040","Béréziat",486,2019
"01041","Bettant",748,2019
"01042","Bey",291,2019
"01043","Beynost",4754,2019
"01044","Billiat",632,2019
"01045","Birieux",283,2019
"01046","Biziat",895,2019
"01047","Blyes",1182,2019
"01049","La Boisse",3283,2019
"01050","Boissey",365,2019
"01051","Bolozon",91,2019
"01052","Bouligneux",328,2019
"01053","Bourg-en-Bresse",41111,2019
"01054","Bourg-Saint-Christophe",1457,2019
"01056","Boyeux-Saint-Jérôme",349,2019
"01057","Boz",519,2019
"01058","Brégnier-Cordon",828,2019
"01060","Brénod",493,2019
"01061","Brens",1144,2019
"01062","Bressolles",934,2019
"01063","Brion",533,2019
"01064","Briord",1070,2019
"01065","Buellas",1812,2019
"01066","La Burbanche",89,2019
"01067","Ceignes",255,2019
"01068","Cerdon",775,2019
"01069","Certines",1503,2019
"01071","Cessy",4808,2019
"01072","Ceyzériat",3194,2019
"01073","Ceyzérieu",1000,2019
"01074","Chalamont",2589,2019
"01075","Chaleins",1382,2019
"01076","Chaley",125,2019
"01077","Challes-la-Montagne",196,2019
"01078","Challex",1557,2019
"01079","Champagne-en-Valromey",811,2019
"01080","Champdor-Corcelles",643,2019
"01081","Champfromier",735,2019
"01082","Chanay",628,2019
"01083","Chaneins",927,2019
"01084","Chanoz-Châtenay",895,2019
"01085","La Chapelle-du-Châtelard",400,2019
"01087","Charix",282,2019
"01088","Charnoz-sur-Ain",903,2019
"01089","Château-Gaillard",2253,2019
"01090","Châtenay",356,2019
"01092","Châtillon-la-Palud",1604,2019
"01093","Châtillon-sur-Chalaronne",4931,2019
"01094","Chavannes-sur-Reyssouze",761,2019
"01095","Nivigne et Suran",853,2019
"01096","Chaveyriat",1034,2019
"01098","Chazey-Bons",1159,2019
"01099","Chazey-sur-Ain",1566,2019
"01100","Cheignieu-la-Balme",131,2019
"01101","Chevillard",152,2019
"01102","Chevroux",961,2019
"01103","Chevry",2149,2019
"01104","Chézery-Forens",461,2019
"01105","Civrieux",1829,2019
"01106","Cize",179,2019
"01107","Cleyzieu",133,2019
"01108","Coligny",1176,2019
"01109","Collonges",2226,2019
"01110","Colomieu",156,2019
"01111","Conand",132,2019
"01112","Condamine",450,2019
"01113","Condeissiat",817,2019
"01114","Confort",667,2019
"01115","Confrançon",1333,2019
"01116","Contrevoz",498,2019
"01117","Conzieu",151,2019
"01118","Corbonod",1278,2019
"01121","Corlier",116,2019
"01123","Cormoranche-sur-Saône",1162,2019
"01124","Cormoz",689,2019
"01125","Corveissiat",612,2019
"01127","Courmangoux",508,2019
"01128","Courtes",305,2019
"01129","Crans",291,2019
"01130","Bresse Vallons",2363,2019
