"CODGEO","nom_commune","pop_tot","year_data"
"01228","Maillat",635,2017
"01229","Malafretaz",1216,2017
"01230","Mantenay-Montlin",313,2017
"01231","Manziat",1963,2017
"01232","Marboz",2244,2017
"01233","Marchamp",131,2017
"01234","Marignieu",172,2017
"01235","Marlieux",1112,2017
"01236","Marsonnas",991,2017
"01237","Martignat",1654,2017
"01238","Massieux",2590,2017
"01239","Massignieu-de-Rives",614,2017
"01240","Matafelon-Granges",641,2017
"01241","Meillonnas",1335,2017
"01242","Mérignat",130,2017
"01243","Messimy-sur-Saône",1224,2017
"01244","Meximieux",7743,2017
"01245","Bohas-Meyriat-Rignat",913,2017
"01246","Mézériat",2172,2017
"01247","Mijoux",341,2017
"01248","Mionnay",2100,2017
"01249","Miribel",9963,2017
"01250","Misérieux",1941,2017
"01252","Mogneneins",778,2017
"01254","Montagnat",1992,2017
"01255","Montagnieu",622,2017
"01257","Montanges",344,2017
"01258","Montceaux",1195,2017
"01259","Montcet",691,2017
"01260","Le Montellier",297,2017
"01261","Monthieux",646,2017
"01262","Montluel",6964,2017
"01263","Montmerle-sur-Saône",3793,2017
"01264","Montracol",1040,2017
"01265","Montréal-la-Cluse",3435,2017
"01266","Montrevel-en-Bresse",2489,2017
"01267","Nurieux-Volognat",1028,2017
"01268","Murs-et-Gélignieux",252,2017
"01269","Nantua",3446,2017
"01272","Neuville-les-Dames",1510,2017
"01273","Neuville-sur-Ain",1756,2017
"01274","Les Neyrolles",639,2017
"01275","Neyron",2527,2017
"01276","Niévroz",1619,2017
"01277","Nivollet-Montgriffon",119,2017
"01279","Oncieu",89,2017
"01280","Ordonnaz",141,2017
"01281","Ornex",4410,2017
"01282","Outriaz",260,2017
"01283","Oyonnax",22427,2017
"01284","Ozan",686,2017
"01285","Parcieux",1206,2017
"01286","Parves et Nattages",942,2017
"01288","Péron",2620,2017
"01289","Péronnas",6385,2017
"01290","Pérouges",1201,2017
"01291","Perrex",838,2017
"01293","Peyriat",157,2017
"01294","Peyrieu",873,2017
"01295","Peyzieux-sur-Saône",661,2017
"01296","Pirajoux",408,2017
"01297","Pizay",820,2017
"01298","Plagne",132,2017
"01299","Le Plantay",564,2017
"01301","Polliat",2511,2017
"01302","Pollieu",159,2017
"01303","Poncin",1703,2017
"01304","Pont-d'Ain",2964,2017
"01305","Pont-de-Vaux",2258,2017
"01306","Pont-de-Veyle",1625,2017
"01307","Port",849,2017
"01308","Pougny",812,2017
"01309","Pouillat",88,2017
"01310","Prémeyzel",248,2017
"01311","Prémillieu",45,2017
"01313","Prévessin-Moëns",8233,2017
"01314","Priay",1729,2017
"01317","Ramasse",324,2017
"01318","Rancé",727,2017
"01319","Relevant",463,2017
"01320","Replonges",3717,2017
"01321","Revonnas",905,2017
"01322","Reyrieux",4797,2017
"01323","Reyssouze",980,2017
"01325","Rignieux-le-Franc",971,2017
"01328","Romans",590,2017
"01329","Rossillon",151,2017
"01330","Ruffieu",186,2017
"01331","Saint-Alban",178,2017
"01332","Saint-André-de-Bâgé",751,2017
"01333","Saint-André-de-Corcy",3354,2017
"01334","Saint-André-d'Huiriat",626,2017
"01335","Saint-André-le-Bouchoux",390,2017
"01336","Saint-André-sur-Vieux-Jonc",1147,2017
"01337","Saint-Bénigne",1265,2017
"01338","Groslée-Saint-Benoit",1193,2017
"01339","Saint-Bernard",1433,2017
"01342","Sainte-Croix",570,2017
"01343","Saint-Cyr-sur-Menthon",1776,2017
"01344","Saint-Denis-lès-Bourg",5747,2017
"01345","Saint-Denis-en-Bugey",2309,2017
"01346","Saint-Didier-d'Aussiat",871,2017
"01347","Saint-Didier-de-Formans",1960,2017
"01348","Saint-Didier-sur-Chalaronne",2875,2017
"01349","Saint-Éloi",456,2017
"01350","Saint-Étienne-du-Bois",2448,2017
"01351","Saint-Étienne-sur-Chalaronne",1555,2017
"01352","Saint-Étienne-sur-Reyssouze",571,2017
"01353","Sainte-Euphémie",1667,2017
"01354","Saint-Genis-Pouilly",12544,2017
"01355","Saint-Genis-sur-Menthon",472,2017
"01356","Saint-Georges-sur-Renon",214,2017
"01357","Saint-Germain-de-Joux",501,2017
"01358","Saint-Germain-les-Paroisses",434,2017
"01359","Saint-Germain-sur-Renon",236,2017
"01360","Saint-Jean-de-Gonville",1787,2017
"01361","Saint-Jean-de-Niost",1477,2017
"01362","Saint-Jean-de-Thurigneux",771,2017
"01363","Saint-Jean-le-Vieux",1723,2017
"01364","Saint-Jean-sur-Reyssouze",744,2017
"01365","Saint-Jean-sur-Veyle",1149,2017
"01366","Sainte-Julie",1017,2017
"01367","Saint-Julien-sur-Reyssouze",749,2017
"01368","Saint-Julien-sur-Veyle",817,2017
"01369","Saint-Just",926,2017
"01370","Saint-Laurent-sur-Saône",1722,2017
"01371","Saint-Marcel",1279,2017
"01372","Saint-Martin-de-Bavel",438,2017
"01373","Saint-Martin-du-Frêne",1049,2017
"01374","Saint-Martin-du-Mont",1826,2017
"01375","Saint-Martin-le-Châtel",787,2017
"01376","Saint-Maurice-de-Beynost",3967,2017
"01378","Saint-Maurice-de-Gourdans",2572,2017
"01379","Saint-Maurice-de-Rémens",756,2017
"01380","Saint-Nizier-le-Bouchoux",680,2017
"01381","Saint-Nizier-le-Désert",916,2017
"01382","Sainte-Olive",283,2017
"01383","Saint-Paul-de-Varax",1529,2017
"01384","Saint-Rambert-en-Bugey",2269,2017
"01385","Saint-Rémy",994,2017
"01386","Saint-Sorlin-en-Bugey",1157,2017
"01387","Saint-Sulpice",257,2017
"01388","Saint-Trivier-de-Courtes",1093,2017
"01389","Saint-Trivier-sur-Moignans",1799,2017
"01390","Saint-Vulbas",1286,2017
"01391","Salavre",272,2017
"01392","Samognat",653,2017
"01393","Sandrans",530,2017
"01396","Sault-Brénaz",953,2017
"01397","Sauverny",1009,2017
"01398","Savigneux",1351,2017
"01399","Ségny",2062,2017
"01400","Seillonnaz",137,2017
"01401","Sergy",2084,2017
"01402","Sermoyer",668,2017
"01403","Serrières-de-Briord",1264,2017
"01404","Serrières-sur-Ain",134,2017
"01405","Servas",1247,2017
"01406","Servignat",175,2017
"01407","Seyssel",999,2017
"01408","Simandre-sur-Suran",671,2017
"01410","Sonthonnax-la-Montagne",312,2017
"01411","Souclin",273,2017
"01412","Sulignat",586,2017
"01415","Talissieu",450,2017
"01416","Tenay",1035,2017
"01418","Thil",1088,2017
"01419","Thoiry",6038,2017
"01420","Thoissey",1741,2017
"01421","Torcieu",726,2017
"01422","Tossiat",1362,2017
"01423","Toussieux",1091,2017
"01424","Tramoyes",1681,2017
"01425","La Tranclière",286,2017
"01426","Val-Revermont",2601,2017
"01427","Trévoux",6845,2017
"01428","Valeins",130,2017
"01429","Vandeins",687,2017
"01430","Varambon",584,2017
"01431","Vaux-en-Bugey",1224,2017
"01432","Verjon",295,2017
"01433","Vernoux",330,2017
"01434","Versailleux",438,2017
"01435","Versonnex",2176,2017
