"CODGEO","nom_commune","pop_tot","year_data"
"01001","L'Abergement-Clémenciat",771,2018
"01002","L'Abergement-de-Varey",253,2018
"01004","Ambérieu-en-Bugey",14204,2018
"01005","Ambérieux-en-Dombes",1720,2018
"01006","Ambléon",112,2018
"01007","Ambronay",2763,2018
"01008","Ambutrix",755,2018
"01009","Andert-et-Condon",324,2018
"01010","Anglefort",1113,2018
"01011","Apremont",373,2018
"01012","Aranc",329,2018
"01013","Arandas",144,2018
"01014","Arbent",3356,2018
"01015","Arboys en Bugey",647,2018
"01016","Arbigny",461,2018
"01017","Argis",450,2018
"01019","Armix",27,2018
"01021","Ars-sur-Formans",1427,2018
"01022","Artemare",1244,2018
"01023","Asnières-sur-Saône",71,2018
"01024","Attignat",3196,2018
"01025","Bâgé-Dommartin",4078,2018
"01026","Bâgé-le-Châtel",948,2018
"01027","Balan",2513,2018
"01028","Baneins",610,2018
"01029","Beaupont",687,2018
"01030","Beauregard",848,2018
"01031","Bellignat",3632,2018
"01032","Béligneux",3351,2018
"01033","Valserhône",16431,2018
"01034","Belley",9122,2018
"01035","Belleydoux",312,2018
"01036","Valromey-sur-Séran",1320,2018
"01037","Bénonces",302,2018
"01038","Bény",753,2018
"01039","Béon",443,2018
"01040","Béréziat",491,2018
"01041","Bettant",745,2018
"01042","Bey",281,2018
"01043","Beynost",4684,2018
"01044","Billiat",632,2018
"01045","Birieux",281,2018
"01046","Biziat",884,2018
"01047","Blyes",1094,2018
"01049","La Boisse",3230,2018
"01050","Boissey",351,2018
"01051","Bolozon",91,2018
"01052","Bouligneux",328,2018
"01053","Bourg-en-Bresse",41248,2018
"01054","Bourg-Saint-Christophe",1407,2018
"01056","Boyeux-Saint-Jérôme",346,2018
"01057","Boz",523,2018
"01058","Brégnier-Cordon",836,2018
"01060","Brénod",500,2018
"01061","Brens",1155,2018
"01062","Bressolles",931,2018
"01063","Brion",531,2018
"01064","Briord",1045,2018
"01065","Buellas",1797,2018
"01066","La Burbanche",83,2018
"01067","Ceignes",254,2018
"01068","Cerdon",779,2018
"01069","Certines",1502,2018
"01071","Cessy",4843,2018
"01072","Ceyzériat",3177,2018
"01073","Ceyzérieu",1003,2018
"01074","Chalamont",2529,2018
"01075","Chaleins",1361,2018
"01076","Chaley",127,2018
"01077","Challes-la-Montagne",192,2018
"01078","Challex",1518,2018
"01079","Champagne-en-Valromey",816,2018
"01080","Champdor-Corcelles",643,2018
"01081","Champfromier",732,2018
"01082","Chanay",627,2018
"01083","Chaneins",912,2018
"01084","Chanoz-Châtenay",868,2018
"01085","La Chapelle-du-Châtelard",394,2018
"01087","Charix",281,2018
"01088","Charnoz-sur-Ain",904,2018
"01089","Château-Gaillard",2195,2018
"01090","Châtenay",348,2018
"01092","Châtillon-la-Palud",1594,2018
"01093","Châtillon-sur-Chalaronne",4881,2018
"01094","Chavannes-sur-Reyssouze",755,2018
